[2023-12-17 14:25:52] Train ID  Starting Point  Destination Point  Length(m)  Arrival Time  Departure Time

[2023-12-17 14:25:52] ------------------------------------------------------------------------------------

[2023-12-17 14:25:57] 1       	B             	F                 	200	      14:25:52    	14:25:58

[2023-12-17 14:25:59] 2       	A             	E                 	100	      14:25:53    	14:26:00

[2023-12-17 14:26:02] 5       	B             	E                 	100	      14:25:54    	14:26:03

[2023-12-17 14:26:06] 8       	E             	A                 	100	      14:25:57    	14:26:07

[2023-12-17 14:26:08] 3       	F             	A                 	100	      14:25:53    	14:26:09

[2023-12-17 14:26:14] 6       	A             	E                 	100	      14:25:57    	14:26:15

[2023-12-17 14:26:16] 7       	B             	F                 	100	      14:25:57    	14:26:17

[2023-12-17 14:26:18] 12       	E             	B                 	100	      14:26:03    	14:26:19

[2023-12-17 14:26:20] 9       	F             	B                 	100	      14:25:59    	14:26:21

[2023-12-17 14:26:22] 11       	A             	F                 	200	      14:26:03    	14:26:23

[2023-12-17 14:26:25] 10       	B             	F                 	100	      14:26:00    	14:26:26

[2023-12-17 14:26:27] 14       	E             	A                 	100	      14:26:04    	14:26:28

[2023-12-17 14:26:29] 13       	F             	B                 	200	      14:26:04    	14:26:30

[2023-12-17 14:26:32] 13       	F             	B                 	200	      14:26:04    	14:26:33

[2023-12-17 14:26:35] 16       	B             	E                 	100	      14:26:32    	14:26:36

[2023-12-17 14:26:39] 18       	B             	F                 	100	      14:26:33    	14:26:40

[2023-12-17 14:26:43] 20       	B             	F                 	200	      14:26:36    	14:26:44

[2023-12-17 14:26:47] 21       	B             	F                 	100	      14:26:37    	14:26:48

[2023-12-17 14:26:49] 22       	E             	B                 	100	      14:26:39    	14:26:50

[2023-12-17 14:26:51] 19       	F             	A                 	200	      14:26:36    	14:26:52

